date,location,temperature,humidity,pressure,cloud_cover,wind_speed,dew_point,cloudburst_tomorrow,cloudburst_tomorrow_binary
2007-01-11,Canberra,19.0,48.5,1017.35,7.0,13.0,6.541109612430157,Yes,1
2007-01-12,Canberra,16.65,86.0,1014.55,8.0,13.0,14.278455828715938,Yes,1
2007-02-11,Canberra,21.6,58.0,1010.4,4.0,10.5,11.751851397670624,Yes,1
2007-02-12,Canberra,20.95,56.0,1011.7,2.0,7.5,11.52934939131773,No,0
2007-03-11,Canberra,17.8,75.5,1008.35,7.5,6.0,13.332714074706868,Yes,1
2007-03-12,Canberra,20.2,66.0,1006.25,7.0,24.0,13.58605627530238,Yes,1
2007-04-11,Canberra,13.8,59.0,1006.25,4.5,27.0,5.906455113509969,Yes,1
2007-04-12,Canberra,21.950000000000003,57.0,1006.8,3.5,23.0,12.300894834348545,No,0
2007-05-11,Canberra,13.25,58.5,1018.4,7.0,24.0,5.077252399600825,No,0
2007-05-12,Canberra,19.55,66.0,1015.15,4.0,20.5,13.002514021846377,No,0
2007-06-11,Canberra,12.850000000000001,63.5,1022.75,6.0,22.0,6.002626793053583,No,0
2007-06-12,Canberra,21.55,66.0,1017.45,7.5,11.0,14.628087310576388,No,0
2007-07-11,Canberra,14.850000000000001,55.0,1023.4,5.0,22.5,5.714369609069292,No,0
2007-07-12,Canberra,22.05,72.0,1013.0,6.5,6.0,16.757194631348675,Yes,1
2007-08-11,Canberra,13.8,61.0,1025.2,6.5,17.5,6.367232022087874,No,0
2007-08-12,Canberra,22.15,59.0,1013.0999999999999,4.5,10.0,13.02615062930639,No,0
2007-09-11,Canberra,16.5,59.0,1024.4,7.0,18.0,8.17648276967618,Yes,1
2007-09-12,Canberra,24.6,51.0,1009.65,7.0,16.5,11.32968772644572,No,0
2007-10-11,Canberra,17.5,57.0,1022.4,4.0,6.5,7.284142607199466,No,0
2007-10-12,Canberra,21.1,47.5,1011.05,7.0,8.5,9.126369508625814,No,0
2007-11-11,Canberra,19.3,54.0,1022.75,1.5,7.5,8.587828774204619,No,0
2007-11-12,Canberra,15.1,61.5,1017.7,7.0,12.0,7.751414532233872,No,0
2007-12-11,Canberra,21.4,44.5,1021.8499999999999,1.5,8.5,8.387812852915168,No,0
2007-12-12,Canberra,17.549999999999997,58.5,1020.35,6.0,19.5,9.179760187080056,No,0
2008-01-01,Canberra,26.85,35.0,1013.7,6.5,6.5,8.52218878776054,No,0
2008-01-02,Canberra,19.7,61.0,1018.0,7.5,11.0,11.625416485636428,No,0
2008-01-02,Sydney,20.799999999999997,88.0,1017.5,8.0,18.5,18.720698044752822,Yes,1
2008-01-03,Canberra,15.85,45.5,1020.05,1.0,15.0,3.2719421457602618,No,0
